Parent Culture,Base Medium,Container ID (calculated),Container Type,Control?,Culture Type,Experiment,Experiment Annotation,growth_rate,Feed Medium #1,Reactor/Plate/Flask Number,Replicate #,Seed,Strain Batch,Strain Genotype,Initial Culture VolumeNone,Culture Volume Unit,Starting OD,Temperature Setpoint (C),Feed #1 Profile,pH Setpoint,pH Control Base Solution,DO Control Setpoint (%),DO Control Cascade Level 1,DO Control Cascade Level 2,DO Control Cascade Level 3,Minimum Aeration (slpm),Maximum Aeration (slpm),Minimum Stirring or Shaking Speed (rpm),Maximum Stirring or Shaking Speed (rpm),Aeration Gas Type
DDB_PD_067_AMBR_SDT170-002_R13_Main_,DDB_BM_005,R13,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R13,1,DDB_PD_067_AMBR_SDT170-002_1_Pre-Final_,SDT170-002,Escherichia coli BW25113 del_fhuA del_rpoN,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT170-002_R14_Main_,DDB_BM_005,R14,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R14,2,DDB_PD_067_AMBR_SDT170-002_1_Pre-Final_,SDT170-002,Escherichia coli BW25113 del_fhuA del_rpoN,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT199-001_R15_Main_,DDB_BM_005,R15,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R15,1,DDB_PD_067_AMBR_SDT199-001_2_Pre-Final_,SDT199-001,Escherichia coli BW25113 del_fhuA del_cyaA,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT199-001_R16_Main_,DDB_BM_005,R16,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R16,2,DDB_PD_067_AMBR_SDT199-001_2_Pre-Final_,SDT199-001,Escherichia coli BW25113 del_fhuA del_cyaA,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT200-001_R17_Main_,DDB_BM_005,R17,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R17,1,DDB_PD_067_AMBR_SDT200-001_3_Pre-Final_,SDT200-001,Escherichia coli BW25113 del_fhuA del_oxyR,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT200-001_R18_Main_,DDB_BM_005,R18,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R18,2,DDB_PD_067_AMBR_SDT200-001_3_Pre-Final_,SDT200-001,Escherichia coli BW25113 del_fhuA del_oxyR,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT201-001_R19_Main_,DDB_BM_005,R19,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R19,1,DDB_PD_067_AMBR_SDT201-001_4_Pre-Final_,SDT201-001,Escherichia coli BW25113 del_fhuA del_fliA,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT201-001_R20_Main_,DDB_BM_005,R20,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R20,2,DDB_PD_067_AMBR_SDT201-001_4_Pre-Final_,SDT201-001,Escherichia coli BW25113 del_fhuA del_fliA,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT202-001_R21_Main_,DDB_BM_005,R21,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R21,1,DDB_PD_067_AMBR_SDT202-001_5_Pre-Final_,SDT202-001,Escherichia coli BW25113 del_fhuA del_crp,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
DDB_PD_067_AMBR_SDT202-001_R22_Main_,DDB_BM_005,R22,AMBR 250,No,Main,DDB_PD_067_AMBR,DDB TF KO,0.11,DDB_FM_005,R22,2,DDB_PD_067_AMBR_SDT202-001_5_Pre-Final_,SDT202-001,Escherichia coli BW25113 del_fhuA del_crp,100,mL,0.1,30,DDB_Feed_Profile_DDB-II (only exponential feed),6.5,Ammonium hydroxide 15%,40,Stirring,Aeration,Oxygen,0.1,0.25,1000,4000,Air
